"id","eng_query","sql_query","parent_id"
-1,"total units on back order by location having under 'duckling_amount0'","select [Inventory Master Locations].LOCATION, sum([Inventory Location Information].UBO) from [Inventory Location Information] join [Inventory Master Locations] on [Inventory Master Locations].LOCATION = [Inventory Location Information].location group by [Inventory Master Locations].LOCATION having sum([Inventory Location Information].UBO) < 'duckling_amount0'",1270
-1,"total units on back order by location having over 'duckling_amount0'","select [Inventory Master Locations].LOCATION, sum([Inventory Location Information].UBO) from [Inventory Location Information] join [Inventory Master Locations] on [Inventory Master Locations].LOCATION = [Inventory Location Information].location group by [Inventory Master Locations].LOCATION having sum([Inventory Location Information].UBO) > 'duckling_amount0'",1270
-1,"total units on back order by location for 'inventory_ch@t@_space_master_ch@t@_space_locations_0_description_value_label'","select [Inventory Master Locations].LOCATION, sum([Inventory Location Information].UBO) from [Inventory Location Information] join [Inventory Master Locations] on [Inventory Master Locations].LOCATION = [Inventory Location Information].location where [Inventory Master Locations].DESCRIPTION = 'inventory_ch@t@_space_master_ch@t@_space_locations_0_description_value_label' group by [Inventory Master Locations].LOCATION",1270
-1,"total units on back order by location for 'inventory_ch@t@_space_location_ch@t@_space_information_0_uom_value_label'","select [Inventory Master Locations].LOCATION, sum([Inventory Location Information].UBO) from [Inventory Location Information] join [Inventory Master Locations] on [Inventory Master Locations].LOCATION = [Inventory Location Information].location where [Inventory Location Information].UOM = 'inventory_ch@t@_space_location_ch@t@_space_information_0_uom_value_label' group by [Inventory Master Locations].LOCATION",1270
-1,"total units on back order by location for 'inventory_ch@t@_space_location_ch@t@_space_information_0_bin_value_label'","select [Inventory Master Locations].LOCATION, sum([Inventory Location Information].UBO) from [Inventory Location Information] join [Inventory Master Locations] on [Inventory Master Locations].LOCATION = [Inventory Location Information].location where [Inventory Location Information].BIN = 'inventory_ch@t@_space_location_ch@t@_space_information_0_bin_value_label' group by [Inventory Master Locations].LOCATION",1270
-1,"total units on back order by location for 'inventory_ch@t@_space_location_ch@t@_space_information_0_shelf_value_label'","select [Inventory Master Locations].LOCATION, sum([Inventory Location Information].UBO) from [Inventory Location Information] join [Inventory Master Locations] on [Inventory Master Locations].LOCATION = [Inventory Location Information].location where [Inventory Location Information].SHELF = 'inventory_ch@t@_space_location_ch@t@_space_information_0_shelf_value_label' group by [Inventory Master Locations].LOCATION",1270
-1,"total units on back order by location for 'inventory_ch@t@_space_location_ch@t@_space_information_0_prodcode_value_label'","select [Inventory Master Locations].LOCATION, sum([Inventory Location Information].UBO) from [Inventory Location Information] join [Inventory Master Locations] on [Inventory Master Locations].LOCATION = [Inventory Location Information].location where [Inventory Location Information].ProdCode = 'inventory_ch@t@_space_location_ch@t@_space_information_0_prodcode_value_label' group by [Inventory Master Locations].LOCATION",1270
-1,"total units on back order by description having under 'duckling_amount0'","select [Inventory Master Locations].DESCRIPTION, sum([Inventory Location Information].UBO) from [Inventory Location Information] join [Inventory Master Locations] on [Inventory Master Locations].LOCATION = [Inventory Location Information].location group by [Inventory Master Locations].DESCRIPTION having sum([Inventory Location Information].UBO) < 'duckling_amount0'",1270
-1,"total units on back order by description having over 'duckling_amount0'","select [Inventory Master Locations].DESCRIPTION, sum([Inventory Location Information].UBO) from [Inventory Location Information] join [Inventory Master Locations] on [Inventory Master Locations].LOCATION = [Inventory Location Information].location group by [Inventory Master Locations].DESCRIPTION having sum([Inventory Location Information].UBO) > 'duckling_amount0'",1270
-1,"total units on back order by description for 'inventory_ch@t@_space_location_ch@t@_space_information_0_uom_value_label'","select [Inventory Master Locations].DESCRIPTION, sum([Inventory Location Information].UBO) from [Inventory Location Information] join [Inventory Master Locations] on [Inventory Master Locations].LOCATION = [Inventory Location Information].location where [Inventory Location Information].UOM = 'inventory_ch@t@_space_location_ch@t@_space_information_0_uom_value_label' group by [Inventory Master Locations].DESCRIPTION",1270
